label,companyName,companyAddress,phoneNumber,city,
건설 및 건설자재,ADD Group JSC,"No 6 Nguyen Hoang, Tu Liem, Hanoi",+84936868700,HA NOI,★★★★☆
건설 및 건설자재,"Plan ADD Viet Nam Co., LTD","No 6 Nguyen Hoang, Tu Liem, Hanoi",+84936868700,HA NOI,★★★★☆
"통신, IT, SW","Worksmate Co., Ltd","No 6 Nguyen Hoang, Tu Liem, Hanoi",+84936868700,HA NOI,★★★★☆
"교육, 매체, 인쇄, 광고","Life Plaza Co., Ltd","No 6 Nguyen Hoang, Tu Liem, Hanoi",+84936868700,HA NOI,★★★★☆
제조업,"DEER'S INNOVATION VINA CO.,LTD","Lot Cn-01, Van Trung I.Z, Viet Yen, Bac Giang",+84705305376,BAC GIANG,★★☆☆☆
제조업,MK METAL VINA,"Lo CN-08, Khu Cong nghiep Van Trung, Xa Van Trung, Huyen Viet Yen, Tinh Bac Giang",+842043526061,BAC GIANG,★★★☆☆
제조업,"PROMADE VINA CO.,LTD","Lo 15, 17 Cum cong nghiep Noi Hoang, Yen Dung, Bac Giang",+84983258063,BAC GIANG,★★☆☆☆
제조업,ACE GARMENT VINA,"516 Km 2, Hoang Hoa Tham, Song Mai, Bac Giang",+842043668912,BAC GIANG,★★★☆☆
제조업,Alpha Green Tech Vina,"CN-05 Hoa Phu industrial Zone, Chau Minh Hiep Hoa district, Bac Giang province. 회비 납부 일: 2019.1 회비 납부일: 2023.06",+84369807883,BAC GIANG,★★★★☆
제조업,"Asetek Vina.Co,Ltd","A3 plot Dinh Tram industrial, Hoang Ninh Commune, Viet Yen district, Bac Giang 회비 납부 일: 2022.4",+842043574886,BAC GIANG,★★★☆☆
제조업,"ASIA BOLT VINA Co.,Ltd","FJ20, FJ21 Song Khe, Noi Hoang I.Z, Tien Phong, Yen Dung, Bac Giang",+842043661564,BAC GIANG,★★☆☆☆
제조업,ATUM VINA,"Tan Van 3, Tan Dinh, Lang Giang, Bac Gian",+842043661199,BAC GIANG,★★☆☆☆
제조업,BJ TECH VINA,"Lo D1-D2 (thue nha xuong cua Cong ty TNHH Xuan Thu), KCN Dinh Tram, Hoang Ninh, Viet Yen, Bac Giang",+84898285166,BAC GIANG,★★☆☆☆
제조업,CHEONG SAN VINA,"Lot B4, Song Khe Noi Hoang IZ, Song Khe, Bac Giang 회비 납부 일: 2018,04",+842043855554,BAC GIANG,★★★☆☆
제조업,"CHUNGDANG VINA CO, LTD","Lot CN 5, Hop Thinh industrial cluster, Hop Thinh, Hiep Hoa, Bac Giang",+842042484868,BAC GIANG,★★☆☆☆
제조업,"CNT SOLUTION VINA CO., LTD","Lot 15 -17, Noi Hoang Industrial Complex, Noi Hoang, Yen Dung, Bac Giang",+842223903160,BAC GIANG,★★☆☆☆
제조업,Cube Tag Vina,"Lo CN-09, KCN Hoa Phu, Hiep Hoa, Bac Giang 회비 납부 일: 2021.04",+842043565551,BAC GIANG,★★★☆☆
제조업,"DIABELL VINA CO.,LTD","Lot CN-02, KCN Van Trung, Van Trung, Viet Yen, Bac Giang",+842043875015,BAC GIANG,★★☆☆☆
제조업,DYT VINA,"CN-10, Van Trung I.Z, Viet Yen , Bac Giang",+842043818335,BAC GIANG,★★★☆☆
제조업,ETECH VIETNAM COMPANY LIMITED,"Lot VI, Dong Vang, KCN Dinh Tram, Nenh Town, Viet Yen, Bac Giang",+842043666188,BAC GIANG,★★★★☆
제조업,FA SYSTEMS,"Factory CN-08-18, Van Trung Industrial Park, Van Trung Commune, Viet Yen District, Bac Giang Province, Vietnam 회비 납부 일: 2021.07",+842042484882,BAC GIANG,★★★☆☆
