Tên Công Ty,Địa Chỉ,Thành Phố,Số Điện Thoại,Ngành,Google Maps Link,Rating Google Maps,Số Lượt Đánh Giá,Ghi Chú
216 Joint Stock Company,"92C Ly Thuong Kiet street, Cua Nam ward, Hoan Kiem district, Hanoi city",HA NOI,+842436892880,"숙박, 요식, 급식",https://www.google.com/maps/search/216+Joint+Stock+Company+HA+NOI+Vietnam,3.8,,
21C HAN VINA,"House No.67, Alley 20, Do Quang, Trung Hoa, Cau Giay, Hanoi",HA NOI,+842432216438,"환경, 설비, 기계",https://www.google.com/maps/search/21C+HAN+VINA+HA+NOI+Vietnam,4.0,,
"365 SYS CO.,LTD","P104, CT02 Block, Hyundai Apt, To hieu, Ha dong, Hanoi",HA NOI,+842435430206,기타,"https://www.google.com/maps/search/365+SYS+CO.,LTD+HA+NOI+Vietnam",4.6,,
3D ART MUSEUM IN PARADISE DANANG,"Lot C2-10 Tran Nhan Tong, Tho Quang, Son Tra, Da Nang",DA NANG,+842363931100,"오락, 문화, 전시, 체육",https://www.google.com/maps/search/3D+ART+MUSEUM+IN+PARADISE+DANANG+DA+NANG+Vietnam,3.8,,
"3H VINACOM Co.,Ltd","TS-12 Road, Tien Son I.P, Tien Du, Bac Ninh",BAC NINH,+842223714202,제조업,"https://www.google.com/maps/search/3H+VINACOM+Co.,Ltd+BAC+NINH+Vietnam",4.4,,
42 INTERNATIONAL,"15F Sao Mai Bd., 19Le Van Luong Dist., Thanh Xuan Dist., Hanoi., Vietnam",HA NOI,+84888421015,"유통, 도소매, 무역",https://www.google.com/maps/search/42+INTERNATIONAL+HA+NOI+Vietnam,4.5,,
4M PARTNERS VIETNAM,"The Central Area of Tay Ho Tay New Town Project, Xuan Tan, Bac Tu Liem, Hanoi BRANCH: 4F, 163 Nguyen Van Troi, Ward 11, Phu Nhuan, HO CHI MINH",HA NOI,+842462946166,건설 및 건설자재,https://www.google.com/maps/search/4M+PARTNERS+VIETNAM+HA+NOI+Vietnam,4.3,,
4P ELECTRONICS,"Trang Due I.Z, Dinh Cat, An Duong District, Hai Phong",HAI PHONG,+842256270336,"전자, 전기 제조업",https://www.google.com/maps/search/4P+ELECTRONICS+HAI+PHONG+Vietnam,3.8,,
88 TRADING AND CONSTRUCTION,"Lot L3, Pho Noi B Textile and Garment Industrial Park, Di Su Ward, My Hao Town, Hung Yen Province",HUNG YEN,+842223896588,"유통, 도소매, 무역",https://www.google.com/maps/search/88+TRADING+AND+CONSTRUCTION+HUNG+YEN+Vietnam,4.2,,
"A ONE CONSTRUCTION Co.,Ltd","Vong Nguyet Village, Tam Giang, Yen Phong, Bac Ninh",BAC NINH,+84984379561,건설 및 건설자재,"https://www.google.com/maps/search/A+ONE+CONSTRUCTION+Co.,Ltd+BAC+NINH+Vietnam",4.5,,
"A&G CERAMICS COMPANY LIMITED (A&G CO., LTD)","KCN Dong Van II, Bach Thuong, Duy Tien, Ha Nam",HA NAM,+84399006161,"전자, 전기 제조업","https://www.google.com/maps/search/A&G+CERAMICS+COMPANY+LIMITED+(A&G+CO.,+LTD)+HA+NAM+Vietnam",3.9,,
A&G Tech,"No.9 km17, 6th route, Dong Mai Ward, Ha Dong Dist, Hanoi, Vietnam",HA NOI,+84384251010,"환경, 설비, 기계",https://www.google.com/maps/search/A&G+Tech+HA+NOI+Vietnam,4.6,,
AAA VIETNAM INVEST CONSULTING,"Tang 5, so 355 Doi Can, Dong Da, Hanoi",HA NOI,+842432115678,법무.회계.투자자문,https://www.google.com/maps/search/AAA+VIETNAM+INVEST+CONSULTING+HA+NOI+Vietnam,4.8,,
AASC AUDITING FIRM,"1 Le Phung Hieu, Hoan Kiem, Hanoi",HA NOI,+842438241990,법무.회계.투자자문,https://www.google.com/maps/search/AASC+AUDITING+FIRM+HA+NOI+Vietnam,,,
ABC EDUCATION CONSULTANCY SERVICE AND TRAINING,"5th, Honda Vinh Cat building, 39 Ly Thai To, Vo Cuong, Bac Ninh",BAC NINH,+842223898100,"교육, 매체, 인쇄, 광고",https://www.google.com/maps/search/ABC+EDUCATION+CONSULTANCY+SERVICE+AND+TRAINING+BAC+NINH+Vietnam,4.4,,
"ABC INTERNATIONAL JOINT VENTURE CO.,","614 Lac Long Quan, Tay Ho, Hanoi",HA NOI,+842437199100,"물류, 운수, 여행업","https://www.google.com/maps/search/ABC+INTERNATIONAL+JOINT+VENTURE+CO.,+HA+NOI+Vietnam",4.5,,
ABE INVEST CONSULTING JSC,"Room 705A, 7th floor, IPH Office Building, No. 241, Xuan Thuy, Dich Vong Hau, Cau Giay, Hanoi",HA NOI,+842437689258,법무.회계.투자자문,https://www.google.com/maps/search/ABE+INVEST+CONSULTING+JSC+HA+NOI+Vietnam,4.5,,
"ACAVA VINA CO.,LTD","Lot A2, Nguyen Duc Canh I.P, Tran Hung Dao, Thai Binh",THAI BINH,+842273641001,"교육, 매체, 인쇄, 광고","https://www.google.com/maps/search/ACAVA+VINA+CO.,LTD+THAI+BINH+Vietnam",4.6,,
"ACE ANTENNA Co.,Ltd","Dong Van ll l.Z, Duy Tien, Ha Nam",HA NAM,+843516259800,제조업,"https://www.google.com/maps/search/ACE+ANTENNA+Co.,Ltd+HA+NAM+Vietnam",4.4,,
"ACE CUT SYSTEM Co.,Ltd","Que Vo I.Z, Phuong Lieu, Que Vo, Bac Ninh",BAC NINH,+842223952300,제조업,"https://www.google.com/maps/search/ACE+CUT+SYSTEM+Co.,Ltd+BAC+NINH+Vietnam",4.3,,
"ACE ENGINEERING VINA CO.,LTD","Viet Long building, No 30 Ly Thai To, Ninh Xa, Bac Ninh",BAC NINH,,기타,"https://www.google.com/maps/search/ACE+ENGINEERING+VINA+CO.,LTD+BAC+NINH+Vietnam",4.7,,
ACE GARMENT VINA,"516 Km 2, Hoang Hoa Tham, Song Mai, Bac Giang",BAC GIANG,+842043668912,제조업,https://www.google.com/maps/search/ACE+GARMENT+VINA+BAC+GIANG+Vietnam,,,
ACE GLOVE TRADING,"Lo C5, KCN Khanh Phu –Yen Khanh – Ninh Binh",NINH BINH,+84229762991,"섬유, 의류, 봉제 제조",https://www.google.com/maps/search/ACE+GLOVE+TRADING+NINH+BINH+Vietnam,4.4,,
ACE MART,"B3 Nguyen Thi Thap, Trung Hoa Nhan Chinh, Thanh Xuan, Hanoi.",HA NOI,,"유통, 도소매, 무역",https://www.google.com/maps/search/ACE+MART+HA+NOI+Vietnam,4.3,,
ACE VIET NAM EDU,"54 ngõ 1 Đồng Me, Phường Mễ Trì",HA NOI,+84343002400,"교육, 매체, 인쇄, 광고",https://www.google.com/maps/search/ACE+VIET+NAM+EDU+HA+NOI+Vietnam,4.1,,
"ACRO VINA Co.,Ltd","Lot B10, Ba Thien II I.P, Thien Ke, Binh Xuyen, VINH PHUC",VINH PHUC,+842113866700,제조업,"https://www.google.com/maps/search/ACRO+VINA+Co.,Ltd+VINH+PHUC+Vietnam",4.5,,
"ACS LOGISTICS VINA Co.,Ltd","6TH FLOOR, TTC TOWER, LOT 19 DUY TAN STREET, DICH VING HAU WARD, CAU GIAY, HA NOI",HA NOI,+842473082988,"물류, 운수, 여행업","https://www.google.com/maps/search/ACS+LOGISTICS+VINA+Co.,Ltd+HA+NOI+Vietnam",4.6,,
"AD ARCHITECTURE Co.,Ltd","B79, Han Thuyen Str, An Huy, Vu Ninh, Bac Ninh",BAC NINH,+842223813535,건설 및 건설자재,"https://www.google.com/maps/search/AD+ARCHITECTURE+Co.,Ltd+BAC+NINH+Vietnam",4.1,,
ADD CONSTRUCTION GROUP,"Dolphin Plaza 3f, 28 Tran Binh, My Dinh, Nam Tu Liem, Hanoi",HA NOI,+842437876232,건설 및 건설자재,https://www.google.com/maps/search/ADD+CONSTRUCTION+GROUP+HA+NOI+Vietnam,4.2,,
